Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
46273,B001EO5KSS,A1FCMQT7KJXCIQ,Boon,0,0,2,1349654400,Not a fan,"I had tried Fiber One and though I loved it, I was looking for something organic. After reading the reviews, I decided to give Barbara's a try. I had an immediate disliking to its taste. After trying it repeatedly, I still can't come around to its taste. I guess it's not for everyone."
936,B000ER6YO0,A13EBBWOMC0FUI,"Sherean Malekzadeh ""Sherean""",0,0,,1263168000,One of my son's favorites,"My son started eating this when he was around 8 months old; he's now 14 months old and it's one of his favorites. Unfortunately, they don't carry it at the local grocery store (they carry other varieties of Earth's Best; just not this one or his other favorites, Spinach/Potatoes and Spaghetti with Cheese); they do carry it at some of the Whole Foods so I buy them there. I'm so glad to find them on Amazon! I get TIRED of ringing up a gazillion little jars at the store.<br /><br />We use this as a base and mix in other things - bits of cooked broccoli, small pieces of meat. I've also started adding spices to introduce him to new flavors."
217041,B000G6MBWI,A1DMR4TXV10JBB,"A. Chrzanowski ""Dwarf Mama""",0,0,,1246665600,Don't stop carrying these chips,"The first time I ate these chips was in Aruba in 2007.  I couldn't find them in our area (CT) so you can imagine my joy when I found them on Amazon.  I love these and hope you continue to carry them.  Your prices are terrific too.  I pay $2.99 in Aruba and they run about $2.46 a bag when I buy the case of 12 through Amazon.  Good job!!!!  Only problem is, now everybody wants them here and they steal my bags when the case comes in, but that's ok...sharing is good."
496272,B008JKU2CO,A254HJEKU1NF2Y,TakeAPic,3,3,1,1332460800,Stale!,"Unfortunately, I got a bad batch! This box was apparently old because they are hard and nearly break my teeth when I bite into them.  I've eaten nearly every flavor of these KIND bars so I know what they are suppose to taste like and it's NOT flavored bricks! Stale!"
171745,B00139E43Q,A2OWR2PL3DLWS4,Love to Cook,1,1,5,1250208000,I LOVE these mints,"These are the best mints.  I'm allergic to GMO cornstarch which is in so many mints- and the mints that don't have it taste bad.  These mints are not so strong they burn your tongue, and they are pleasingly sweet- without being too sweet.  The Wintergreen are just perfect.  I always carry them in my purse."
391698,B000GFYRJE,AT40UJ4IXZRCF,tomato,0,0,4,1341273600,deserves five stars but lost one for not being offered organic.,"perfect oolong. really good. i actually went to teavana and tried their ""monkey picked oolong"" which is supposed to be such high end magical tea and laughed as it was no where near as good as this oolong.<br /><br />it's not the best i've had in the oolong department, but it's cheap, you can find it easy, and it beats some of the higher end oolongs that sell for quadruple the price!<br /><br />only thing is they don't make it in an organic variety, that is lame and the only reason it lost a star."
539412,B001BDDT8K,A2ZJDGVJ45AR5W,"Will Kalif ""StormTheCastle""",1,1,4,1229472000,Tempted to eat them myself!,"This is quite a unique brand of cat food. Their tagline is ""People food for cats"" and they are quite right. They smell and look delicious.<br /><br />There are basically two types of canned cat food in my experience, the first kind is the solid kind where you tip the can into the plate and the food retains the shape of the can. The second type is the  more liquidy type that you can spoon, almost pour into the cats plate. For me this second type is preferable because it has a higher content of liquid which I consider to be healthier for the cats urinary system. This cat food is of this second type.<br /><br />My cat is a very finicky eater and he takes time to adjust to new foods.<br />This package contains two flavors; the first is chicken pot pie which looks just like real chicken pot pie, right down to the light gravy, there are cubes of real chicken breast and it really looks like pot pie. My cat laps up all the sauce then moves on to the chunks of chicken.<br /><br />Second flavor is sesame chicken: This smells really good and the chicken is not chunked but in thin strips. My cat loves the sauce and will drain it all dry but is not too fond of the chicken. He will probably adjust to it over time. This is why only four stars."
412002,B000CQC05K,AINMG64N0CBEG,Oz,3,5,2,1261785600,not as good as Yogi Tea's Lemon Ginger tea,"I am used to Yogi Tea's Lemon Ginger Tea, and for a change I wanted to try Stash's.<br />Unfortunately, I will go back to Yogi Tea's Lemon Ginger which tastes much nicer."
224717,B000B8ZA60,A13YNYAYG5JZVU,"Rosa C. Spencer ""tennisjunkie""",1,1,5,1198713600,delicious - soothing,tried first in Fla.  could not find a vendor in Atlanta.  so good i looked far and wide to find the a distributor on the web.  will order regularly.  found some duplicates - this was smoother in taste.
177370,B004U49QU2,A3PECZX773ME74,E. K. Moseley,0,0,4,1309305600,OK,"""Chips Ahoy! Chewy Gooey Megafudge;"" I liked these cookies; however, they are a little on the too much chocolate for me. With that statement said, if you love chocolate then you will really like these. If you want less chocolate one cookie is enough and summer time put them in the frig and eat cold."
495047,B00271OPVU,A3NVD74QJYFCWS,Larala,1,1,5,1323043200,I absolutely love this syrup -- and that other too.,"I'm no maple syrup expert but I've been using maple syrup grade B for a number of years and I absolutely love the Coombs Family Farms one. It's thick, rich and complex. I like it with yogurt, pancakes, fruit, lemonade, in cooking, and even by the shot. However, after reading about maple country and maple syrup culture, I toyed with the romantic idea of buying directly from maple syrup makers. I recently was able to do that. I ordered a gallon of maple syrup grade B from Bear Mountain Vermont Maple (that's the place I chose after some research). Their sugar bush is in a remote mountain that borders Quebec and has never been farmed. Although the syrup is not certified organic, no pesticides or insecticides are used anywhere in the area. These are really nice, honest people and it was a great experience ordering from them. The syrup is great. And the price is good too: 1 gallon is $60 (including shipping) and is shipped in two half-gallon BPA-free containers that have an oxygen barrier coating on the outside to help the syrup stay fresh longer. The service was fast too. I got the shipment just 4 days after I placed my order (I live in Northern California). So yes, I'm really satisfied. I am not ready to say that I prefer this syrup to Coombs Family Farms'. They're both really good in my opinion. But ordering from Bear Mountain was more like getting my produce from a farmer's market kind of experience for me."
464456,B000UBD88A,AYVA1OS3PL19K,S. Dosaj,0,0,5,1325635200,Rare coffee,It's so hard to find Senseo coffee pods in markets these days. I buy online. I love the little coffee house froth on each cup. The smaller cups of coffee dispensed by the Senseo machine and slightly stronger roast are very European. I love my Senseo!
102885,B001ASCZS6,A1HFPTFCKUSFEI,SHC,0,0,5,1295136000,A really delicious tea!!,"This is a very enjoyable, refreshing tea with lemon and mint flavors. I think it's even a good dessert or snack tea. My grocery store is discontinuing Wissotzky - I found these teas on Amazon including this flavor which my store didn't stock. I'm really very happy with this tea and would order again."
141578,B005C3DTIK,A1ESB4HAI5G97C,Sue H,0,0,4,1328745600,good dog food for adult dog,"good food for adult dogs that need low mineral/protein content. BUT...PetSmart sells it, but is very slack on stocking it i've found out. Getting it through Amazon is easier believe it or not, than getting in the car and hoping to get it at my local PetSmart. Amazon does not just ""run out"", or ""forget to stock it"". Thank you Amazon!"
397972,B000V17MLS,A3C7KI4396ZZEV,knogle,0,0,5,1312848000,Best curry I can find,"My entire extended family gets this curry paste because it is the best we can find. I make it about once every two weeks. With rice and chicken, I easily get three large meals. Which works out to less than $2 per meal. I never add the butter as called for in the directions because it is absolutely flavorful enough without it. With subscription, it is cheaper than buying it in the grocery store.<br />I would give it more than five stars if I could."
103535,B002Z08RIA,A2EUS5A4V7AKAD,"G. Varghese ""gvarghese""",2,3,3,1312761600,Not great but I prefer Taste Nirvana,This isn't bad but it isn't anything spectacular. I've tried this and Taste Nirvana's brand and honestly I prefer Taste Nirvana because it tastes more natural.
456798,B0009ETA6W,APL8B8Y7T0ED8,Jinkster,3,3,5,1276473600,"Not a miracle cure, but definitely works","I ordered the supplement after realizing that pumping at work wasn't producing as much as I needed to cover what my 3-month old daughter drank at daycare, and I'm committed to exclusively breastfeeding for as long as the AAP recommends.  Currently I take two capsules with every meal (6 a day).  I began to notice increased engorgement probably about 48 hours after starting the supplement.  Since starting it, I've been pumping about 3-4 ounces more per day, which is enough to cover the gap I had been concerned about.  Although I myself was a bit gassy for the first few days, I didn't notice any side effects in my daughter (and I was definitely watching out for them).<br /><br />I should say, I had to stop taking the pills for a few days due to some minor surgery, and I did notice my supply go down again.  So the pills do work, but in my case at least I have to keep taking them to keep getting results.  I'm happy to do it for my baby :)"
277530,B000VK8AVK,A1B4T1Z4TJZUSX,"snowbie1k ""watchful eater""",0,0,5,1255564800,Healthy at a great bargain!,"Great for diabetics who struggle with what to have for healthy snacks!  Ordering online couldn't be any easier or more convenient with very quick/efficient delivery.  The online price is better than in the stores, too.  I couldn't be happier."
47248,B0029O10P4,A1B4PMJVY3Q38W,"E. McKee ""Book lover""",3,3,5,1289692800,This must be crack for cats,My four cats adore this.  They split one bag every night.  I mistakenly gave some  to a stray cat that I feed and he would not leave the deck until I gave him a whole bag.  My mother's cat is also addicted and requires a hand full every day.  She stares pointedly between my mother and her food bowl until she gets enough.<br /><br />Since one my cats has some dental problems this cat food is great as a treat that is good for them.
112183,B0002HAB64,A3KTRR4QTE2LUJ,paul e. benedict,0,0,5,1346371200,Great find!,"I got hooked on these little peppers in Mexico but they are next to impossible to find in the states. I finally found them on Amazon from The Latin Products, at a great price to boot, so I stocked up. They arrived promptly, well packaged, and were as good as I rememeber them. Great if you have a taste for the spicy!"
270848,B004RBT8KG,A35D075O30ZJS3,"Lillian R. Roche ""lroche""",0,0,5,1305590400,Love these brownies!!,"These are great!  I don't know about the price, but I haven't been able to find them at Costco anywhere, nor in grocery stores.  Amazon may be the way to go for me.  They are a tasty treat and you can forget a candy bar.  I love them."
195124,B0049Z5OSK,A1SQPBEUL9VEDR,Ruth,0,0,4,1348012800,Delicious and healthy treat!,"I wouldn't call these almonds sweet, but they do have just the right hint of sweet flavor that the almond is elevated and feels like a treat.  The taste and texture of almonds doesn't particularly appeal to me, but they're such a healthy snack that I'm glad to find this delicious option.  Also, the small container is the perfect size to have on your desk or keep in the car, or use as stocking stuffers like I plan to do for a couple of my healthy eating conscious friends!"
21521,B002QWP89S,A2AE869K5GLGN5,"Susola ""Book Lover""",1,2,5,1243814400,"Excellent seller, excellent service, excellent prices!","I would not only order from this seller again, I have also told all my friends about this seller's store!"
41057,B000M36L9E,A3AO8XB02QGYAX,"Cat B. ""Cat B.""",12,13,5,1223164800,Can't Live Without It,"I've used Cola Syrup for nausea since my mom gave it to me as a kid in the 1950's.  Now that I am in my late 50's and have developed problems with most medications, this is the only thing I can take for nausea.  Since I have chronic migraines, its a real life saver.<br />Cat B."
309814,B000ILILLQ,A3H8288VHL1607,Nicole Brown,0,0,4,1320278400,Pamela's cookies are fun and good,"Being a fan of Pamela's products, I had no hesitation in trying the chocolate chip mini cookies. These remind me of any store-bought, traditional gluten-filled chocolate chip cookie in that they taste normal and are not chalky and dry like so many other gluten free cookies out there. I like the size of these cookies because you feel like you are getting more out of your snack than one signle larger cookie. They are the perfect size for my children (who also love them) and the chocolate doesn't melt too fast and make a big mess. Yum!"
110918,B0085YB426,A2MLVRK0WCRA9W,D. Lacey,0,0,5,1296086400,"Awesome coffee, perhaps my favorite.","Timothy's World Coffee, Italian Blend for Keurig is likely my favorite all-around coffee blend. Somewhere between a medium and mild blend, this aromatic coffee is sure to  please the most discriminating of family and friends."
253517,B000N5Z5YI,A3833VXG1CNT1Q,Susan L.,0,0,5,1343779200,My 3 little dogs love these treats & they are made in the USA,"My three little dogs love these treats that are so easy to break into little pieces. I love that they are all natural, low fat and are made in the USA.  I used to use another brand that has been discontinued but I am liking these better due to how easily they break into small pieces and my little dogs like these better also."
458476,B000FFIL92,AIZVI0OK7XSIZ,M. Davidson,1,1,5,1246060800,fun and delicious,"I love Numi tea and this tea set makes a perfect way to try a variety of flowering teas they have.  Get together with a friend or just spend time alone resting and enjoying the next perfect cup of tea.  My favorite for taste, I must admit, is the beautiful black peony.  Some of the other's are more beautiful if it is the flowering teas you like best. Each person I've sent these to have enjoyed them very much.  The only con is the price.  Buying Numi is a little hard on my pocket book."
491614,B000BRWX0C,A1N4NAIHZF4J7X,"Dawndy12 ""Barely Surviving The Loss of My Dau...",0,0,1,1343779200,CHECK THE EXP DATE!!!,I JUST REC'D THE CHICKEN ONE TODAY 8/2/12  I ALWAYS ALWAYS CK THE DATES OF EVERYTHING I EAT OR DRINK..FOR MY FURBABIES TOO.. I CAN'T BELIEVE THE..ONE..TIME I DIDN'T (THANK GOODNESS ONLY GAVE ONE TREAT EACH TO EACH DOG) I COULDN;T BELIEVE IT THE DATE SAID ..BEST..USED//BY 7/13/12!!!!  ALL DATES ON EVERYTHING ALWAYS IS A YEAR TO TWO YRS AWAY..SO THIS HAD TO BE VERY OLD..HOW COULD THEY SEND SOMETHING THAT OLD! GRRR<br />HOWEVER THE CO IMMEDIATELY REFUNDED ME...BUT..IM OUT TREATS FOR MY GIRLS HAVE TO WAIT FOR ANOTHER KIND OF TREAT TO ARRIVE NOW!!<br />I WOULD REFRAIN ORDERING FROM THIS CO.
6051,B000H227BG,AC64J76R8B1M9,"OTG w/chickens ""Zookeeper Extraordinaire""",2,2,5,1238544000,"Rich, chocolatey beverage mix",We appreciate the short list of ingredients on the Ghiradelli hot chocolate mixes.  The Chocolate Mocha flavor is rich and chocolatey with out being overpowered by the coffee.  This is one of our favorite cold weather drinks.
481010,B004ZY34NC,A3W23D5PTALR0L,LWD,12,12,1,1344988800,Great Coffee - But don't buy it here.,"The coffee is rich and delicious... a great way to start the day or to end an evening meal.  But at $1.00 a cup it is way overpriced.  I bought my Nespresso coffee machine from an Amazon dealer.  The price was very good.  So I assumed that the cost of the coffee would be good as well.  I performed a Google internet search for the lowest prices on Nespresso coffee, and all search results linked to Amazon.  So I ordered 50 cups and paid $1.00 a cup.  Then, a few days later I found that I could order the same coffee directly from the Nespresso website for only $0.60 a cup.  This shows you how skewed the Google Search Engine is and also reveals that the ""deals"" on Amazon are not always good deals.<br /><br />Lessons learned: 1) The coffee is great!  2) Do not trust Google as a reliable source to point you in the direction YOU want to go in.  It only points you in the direction they want to take you in.  3) Buy your coffee directly from Nespresso and save 40% (and get faster shipping as well.)  4) Do not rely on Amazon for the best deals."
475057,B003DKT8AC,A2GGQ93VXT606F,M. Lefevre,1,1,5,1313107200,Darn Close,I am a happy camper they arrived today. I was addicted to the Sunshine raisin biscuit. Loved them as a child loved them as an adult my children loved them too. When I moved to Texas I could not find them so my source in California would send a case now and then. Like everyone else I was upset when they stopped making them. This biscuit is very close not as sweet as Sunshines. I read the list of ingredients not a lot of sugar or fat. I will feel good about introducing these to my 3 year old grand-daughter.
355656,B002QWP8H0,A18KK6UY5352LQ,Marybeth Novoselsky,0,0,5,1340668800,Greenies,Shipped very fast.  Great product for your dog's teeth.  I have been giving my poodle greenies ofr years now and my vet said that her teeth are just as white and healthy as a 2 year old dogs.  She is 10 years old.
234552,B000KV7ZGQ,A26HN4UMQCFF6U,Andie,1,1,5,1305331200,So much better than a bowl!,"The Tug-a-Jug has become our Hobbes' favorite toy.  We no longer give him meals in a bowl, but either in this toy or in a Buster Cube. We prefer this to the Buster Cube when we are watching TV because it is less noisy. The Tug-a-Jug is solidly constructed.  We've had ours for a month so far, and have used it nearly every day.  It is absolutely worth the twelve dollars it is currently selling for.<br /><br />The medium/large size hard plastic bottle is about the size of a large (32 oz) sports drink bottle.  As the dog tugs the rope and manipulates the bottle, bits of kibble - or whatever you want to put in it - come out.  You can also change the level of challenge by putting ping pong balls or other things in the bottle.<br /><br />Hobbes is a 60 lb Lab mix, and a cup of kibble will last him about fifteen minutes.  In a bowl, the same amount is gone in seconds.  It's a great way for him to have some mental stimulation and settle down in the evening before bed.  Because he loves it so much, it's a great training aid.  At a minimum, he sits politely to ask for it.<br /><br />UPDATE: (September 2, 2011) Hobbes chewed right through the rope a month or so ago. However, we removed the remnants of the rope and put in more ping pong balls to plug the hole. This way we haven't had to buy a new one and he still enjoys it every night."
411043,B0050X8EK0,A1C7CQIKJN3KRT,Geert Mein,10,11,5,1319932800,Great Product!,I love IKEA's Sylt Lingon Lingonberry Jam. But here it is ridiculously overpriced. It only costs 2.99 usd per 14 ounces at IKEA per 14 ounces jar.
539676,B001F653HS,ATUT4WE77E70C,WHS,2,2,5,1277510400,Really Good Stuff,"Delicious black tea blend. My favorite tea blend of any I have tried so far and I think the reason for that may be the predominance of assam in this blend. Really good prepared as per package directions, 1 measured teaspoon per 6 ounces. Optimal brewing time for me seems between 3-4 minutes but the directions recommend 5. Best quality/price ratio of any tea on amazon that i have tried."
234636,B000KV7ZGQ,AHXPB1GP9DXRS,"Della Goldsworth ""D. Gold""",1,1,3,1235433600,"bottle may be bullet proof, but plastic rope is easily broken","My dog LOVES to chew her toys, and I thought that with the advertising that the bottle was ""bullet-proof"" that meant they had made the rest of it as indestructible as they could.  I would have been happy to get a week's play out of this.  No go.<br /><br />My dog loved the treat aspect of this toy.  She spent a long time working the treats out one by one, and I was really happy with how busy it kept her.<br /><br />Until I went to pick it up to bring it inside with us at night.  I found several little pieces of the rope part that she had torn off.  I realize it's difficult to make a toy unchewable, but this wasn't even close to as durable as it could be.<br /><br />For a dog that doesn't try to destroy toys, this would be a wonderful toy!"
406544,B006E8OGNY,A1NPKR4ONUDNOK,Johann,1,1,5,1344988800,Very satisfactory low-carb tortillas,This item is a very satisfactory substitute for relatively high carb bread. This product may be of interest to diabetic persons on a controlled carbohydrate diet.
254867,B007PA32L2,A1WB9NQR14VR8G,Lilly,0,0,2,1350864000,No Pumpkin Spice flavor!,This is black coffee! I am very disappointed... It really has no flavor at all. No pumpkin or spice or anything nice!
11007,B001NJI7GQ,AGXQRV98SWUFO,"DMB ""btrue""",2,3,5,1246492800,vita coco,"I tasted the pineapple flavor yesterday at a friend's cocktail party. She used it to mix with rum to make pina coladas. It complimented the drink so well!! The bottles are really pretty to set up and hand out at a party as well =)<br /><br />I have been drinking Vita Coco for a while now and usually drink the 100% pure, but I find the flavors to be such a treat (yet still very healthy)! Especially after a long workout."
420696,B000NP30V8,A2HFXQLFWTR0GT,BB Whiteside,0,0,2,1284940800,online coffee bar,"these k-kups are dangerously bold, in that when they start to go stale they get bitter fast. Unfortunately these had started to go.I have no idea whether there is a way to check their ""use by"" date."
251448,B0014APFB4,A12JKE0CYLRUCM,BookSmartie,0,0,5,1293321600,Love it!!,"I love this tea. And it makes you feel very healthy, which is so needed during the Christmas and New Year season.. I haven't used it in one week, and I can soooo feel my body needing a good detox.  I recommend for anyone who has stomach issues, over indulges, and wants to feel generally better."
448334,B0001FQVMK,A20D9N4Q309FSV,William Graepel,2,2,5,1246320000,amaretto cookies,"My wife wanted to get a unique Fathers Day gift for her Dad and she remembered that he enjoyed amaretto cookies. While searching, she recognized the Lazzaroni cookie tin as the brand that he had loved many years ago.<br />She ordered them through Amazon.com and sent them directly to him in time for Fathers Day. He was thrilled!"
285272,B000EHXWIQ,A155DRNL79HT15,LISA ANN FEIT,2,3,1,1288310400,rice crumbs,"This product was a true disappointment.  When I opened the box, there was a slight odor to it.  Amazon would not let me get a refund back, and instead sent a new box of rice crumbs.  The new box of 8 packages expires in April 2011!.<br /><br />Not sure I will buy food again through Amazon unless it is returnable.  Very, very dissatisfied."
70880,B000E4ALGK,A2Y5VC6FWT7JZE,"JD ""Jeff""",0,0,4,1262131200,Great Gluten-free Snack,"This is one of the first food items I found after being diagnosed with Celiac disease over 1 1/2 years ago.  It tastes great.  I have it as a breakfast bar, snack, dessert, and it's only only 110 calories (something I now have to watch due to weight gain).  Chocolate & Berry flavors are equally as good (if not better).  I typically buy these in bulk from Amazon; the price is comparable to what local retail stores are selling it for (i.e. Wegmans, Whole Foods, etc.)."
530537,B002ACQHC6,AWTFK8NJ3Y682,Steven M. Frankel,2,10,1,1303257600,"Great coffee, but bag that rips off consumers","This is a totally enjoyable dark roast coffee, but Baronet has chosen to sell it in a ""fair trade"" bag that contains 8 unprotected pods and drastically shortens the shelf life of the coffee once you open the bag.  If you drink 3+ cups of coffee a day and only drink this variety, this is fine because you'll use up all the coffee pods in less than 3 days.  But if you like to choose from several varieties of coffee pods, and drink only 1-2 cups a day,it's a definate minus and totally anti-consumer.  One of the most important advantages of single-pod packed coffee is the freshness and aroma that's assured when you tear open the bag.  This form of packaging is the equivilent of using your mother's Maxwell House coffee in a 1-pound can that often stayed around the house for months.<br /><br />At least give the customer a choice of packagings!<br /><br />SUGGESTION FOR CONSUMERS:  DON'T BUY ANY COFFEE SOLD IN THESE BAGS!!!<br />SUGGESTION FOR AMAZON:  DON'T SELL ANY POD COFFEE THAT'S NOT PACKAGED IN SEAL INDIVIDUAL SERVINGS!!!"
82755,B003120Y4Q,A2LJO6MW6ODFQV,strawberrykitten,0,0,5,1316563200,"Wonderful! At last, I found it! ^-^","I have been searching high and low for a 'good' strawberry syrup to add to my soymilk. One without high fructose or other nasty ingredients. Finally, I have found this wonderful strawberry syrup! It's organic and only has two ingredients! 1. Organic Raw Blue Agave and 2. Organic Strawberry Flavor! For such a simple product, this syrup is exactly what I needed to make my favorite strawberry soymilk. I'm so pleased! It tastes amazing. I personally don't mind there not being a 'pink' color to the milk, as long as it tastes this good. If you are looking for a natural alternative to strawberry syrup for your ice cream, waffles, milk, etc., then I strongly recommend this product! My strawberry syrup is found at last! ^-^"
518756,B008G96SHQ,A2WRPALRL4RPJY,"Candice Conway ""Dessertcrazy""",0,0,5,1350864000,Great hot sauce!,"This hot sauce has so much pepper flavor!  It's just the right amount of heat, not too hot, but definitely not mild.  It's my favorite hot sauce, and I've tried dozens."
345216,B0076MLL12,A2H0LXLB09PYZI,Sadie,0,0,5,1350518400,Great for winter !,"I love a cup of Hot Choc. in the cold winter months. We live in Penna. and it gets quite chilly here. The Hot Coc. is a little sweet for my taste, but I've gotten used to it and enjoy a cup once in a while"
9803,B000KFXEYE,A2YM8BKEP0TBOT,"Xiao Lian ""Mocha drinker""",0,0,4,1204070400,Good Amaretto Flavor,"I tried this unknown manufacturer ""Stephen's"" and was pleasantly surprised. It had a good amaretto flavor along with the chocolate. The aroma is good. I use it in my coffee for a homemade mocha taste."
